panelid,panelwave,year,id,wt_pooled,wt_pooled_insc,wt_no_pooling,wt_no_pooling_insc,wt_shrunken,wt_shrunken_insc
200611,1,2006,11,4.447382,3.204533,5.767359,3.520034,4.725658,3.286487
200611,2,2008,3003,4.447382,3.204533,5.767359,3.520034,4.725658,3.286487
200611,3,2010,6003,4.447382,3.204533,5.767359,3.520034,4.725658,3.286487
200612,1,2006,12,3.635581,3.345038,3.176197,2.922395,3.542508,3.258684
200612,2,2008,3004,3.635581,3.345038,3.176197,2.922395,3.542508,3.258684
200612,3,2010,6004,3.635581,3.345038,3.176197,2.922395,3.542508,3.258684
200613,1,2006,13,.71769,.6591203,.6805375,.6466585,.7108352,.6574524
200613,2,2008,3005,.71769,.6591203,.6805375,.6466585,.7108352,.6574524
200613,3,2010,6005,.71769,.6591203,.6805375,.6466585,.7108352,.6574524
200614,1,2006,14,.8596441,.7748395,.7132388,.6795321,.8282433,.7561129
200614,2,2008,3006,.8596441,.7748395,.7132388,.6795321,.8282433,.7561129
200614,3,2010,6006,.8596441,.7748395,.7132388,.6795321,.8282433,.7561129
200615,1,2006,15,3.678031,3.641501,3.107277,3.086581,3.538563,3.506801
200615,2,2008,3007,3.678031,3.641501,3.107277,3.086581,3.538563,3.506801
200615,3,2010,6007,3.678031,3.641501,3.107277,3.086581,3.538563,3.506801
200618,1,2006,18,3.508835,3.398716,3.292743,3.428893,3.465538,3.414291
200618,2,2008,3008,3.508835,3.398716,3.292743,3.428893,3.465538,3.414291
200618,3,2010,6008,3.508835,3.398716,3.292743,3.428893,3.465538,3.414291
200619,1,2006,19,.7186366,.677154,.6324929,.609928,.7007224,.663719
200619,2,2008,3009,.7186366,.677154,.6324929,.609928,.7007224,.663719
200619,3,2010,6009,.7186366,.677154,.6324929,.609928,.7007224,.663719
200634,1,2006,34,.9232101,.841301,.7831668,.7134528,.8800561,.8026174
200634,2,2008,3011,.9232101,.841301,.7831668,.7134528,.8800561,.8026174
200634,3,2010,6010,.9232101,.841301,.7831668,.7134528,.8800561,.8026174
200638,1,2006,38,3.149372,2.878654,3.770802,3.255992,3.304246,2.974519
200638,2,2008,3013,3.149372,2.878654,3.770802,3.255992,3.304246,2.974519
200638,3,2010,6011,3.149372,2.878654,3.770802,3.255992,3.304246,2.974519
200651,1,2006,51,.7742723,.7340465,.8578399,.8101259,.7962487,.7534488
200651,2,2008,3015,.7742723,.7340465,.8578399,.8101259,.7962487,.7534488
200651,3,2010,6012,.7742723,.7340465,.8578399,.8101259,.7962487,.7534488
200652,1,2006,52,1.660484,1.4555,2.144658,1.807792,1.769979,1.537063
200652,2,2008,3016,1.660484,1.4555,2.144658,1.807792,1.769979,1.537063
200652,3,2010,6013,1.660484,1.4555,2.144658,1.807792,1.769979,1.537063
200654,1,2006,54,.6259793,.6032077,.6037403,.5982221,.6235206,.6039635
200654,2,2008,3017,.6259793,.6032077,.6037403,.5982221,.6235206,.6039635
200654,3,2010,6014,.6259793,.6032077,.6037403,.5982221,.6235206,.6039635
200655,1,2006,55,2.856807,2.863174,2.863067,2.800491,2.870495,2.856678
200655,2,2008,3018,2.856807,2.863174,2.863067,2.800491,2.870495,2.856678
200655,3,2010,6015,2.856807,2.863174,2.863067,2.800491,2.870495,2.856678
200656,1,2006,56,.8163994,.7172424,.606519,.5601499,.7553932,.6746234
200656,2,2008,3019,.8163994,.7172424,.606519,.5601499,.7553932,.6746234
200656,3,2010,6016,.8163994,.7172424,.606519,.5601499,.7553932,.6746234
200657,1,2006,57,2.648407,2.449711,1.972048,1.86786,2.45848,2.290663
200657,2,2008,3020,2.648407,2.449711,1.972048,1.86786,2.45848,2.290663
200657,3,2010,6017,2.648407,2.449711,1.972048,1.86786,2.45848,2.290663
200658,1,2006,58,1.235574,1.184401,1.208436,1.160928,1.233903,1.182142
200658,2,2008,3021,1.235574,1.184401,1.208436,1.160928,1.233903,1.182142
200658,3,2010,6018,1.235574,1.184401,1.208436,1.160928,1.233903,1.182142
200659,1,2006,59,1.454341,1.392337,1.530686,1.457851,1.478192,1.411374
200659,2,2008,3022,1.454341,1.392337,1.530686,1.457851,1.478192,1.411374
200659,3,2010,6019,1.454341,1.392337,1.530686,1.457851,1.478192,1.411374
200661,1,2006,61,2.862706,2.616272,2.920274,2.522029,2.887631,2.595682
200661,2,2008,3023,2.862706,2.616272,2.920274,2.522029,2.887631,2.595682
200661,3,2010,6020,2.862706,2.616272,2.920274,2.522029,2.887631,2.595682
200662,1,2006,62,1.363566,1.230643,1.062272,.9405326,1.280087,1.149812
200662,2,2008,3024,1.363566,1.230643,1.062272,.9405326,1.280087,1.149812
200662,3,2010,6021,1.363566,1.230643,1.062272,.9405326,1.280087,1.149812
200665,1,2006,65,4.911184,4.693524,2.822587,2.59268,4.126508,3.890778
200665,2,2008,3025,4.911184,4.693524,2.822587,2.59268,4.126508,3.890778
200665,3,2010,6022,4.911184,4.693524,2.822587,2.59268,4.126508,3.890778
200674,1,2006,74,2.203598,1.965378,1.426664,1.353033,1.940051,1.774797
200674,2,2008,3027,2.203598,1.965378,1.426664,1.353033,1.940051,1.774797
200674,3,2010,6023,2.203598,1.965378,1.426664,1.353033,1.940051,1.774797
200681,1,2006,81,3.595116,3.386652,2.949777,2.876575,3.429319,3.267628
200681,2,2008,3029,3.595116,3.386652,2.949777,2.876575,3.429319,3.267628
200681,3,2010,6024,3.595116,3.386652,2.949777,2.876575,3.429319,3.267628
200683,1,2006,83,2.053358,1.995959,2.368803,2.291675,2.13496,2.069576
200683,2,2008,3030,2.053358,1.995959,2.368803,2.291675,2.13496,2.069576
200683,3,2010,6025,2.053358,1.995959,2.368803,2.291675,2.13496,2.069576
200689,1,2006,89,.8419115,.7795966,.8790194,.7863293,.8538029,.7833621
200689,2,2008,3033,.8419115,.7795966,.8790194,.7863293,.8538029,.7833621
200689,3,2010,6026,.8419115,.7795966,.8790194,.7863293,.8538029,.7833621
200690,1,2006,90,6.975052,6.754239,8.24296,7.777724,7.246822,6.980795
200690,2,2008,3034,6.975052,6.754239,8.24296,7.777724,7.246822,6.980795
200690,3,2010,6027,6.975052,6.754239,8.24296,7.777724,7.246822,6.980795
200810,1,2008,10,.8596641,.8048263,.9246557,.9202642,.8778877,.8331829
200810,2,2010,8009,.8596641,.8048263,.9246557,.9202642,.8778877,.8331829
200810,3,2012,8006,.8596641,.8048263,.9246557,.9202642,.8778877,.8331829
200813,1,2008,13,.6217566,.5850517,.6733207,.6365898,.6367458,.5998843
200813,2,2010,8012,.6217566,.5850517,.6733207,.6365898,.6367458,.5998843
200813,3,2012,8007,.6217566,.5850517,.6733207,.6365898,.6367458,.5998843
200817,1,2008,17,.7897735,.7397285,.8946087,.9748229,.8183643,.7946503
200817,2,2010,8013,.7897735,.7397285,.8946087,.9748229,.8183643,.7946503
200817,3,2012,8008,.7897735,.7397285,.8946087,.9748229,.8183643,.7946503
200819,1,2008,19,.8190839,.7648261,1.146284,1.22856,.8842998,.8481019
200819,2,2010,8014,.8190839,.7648261,1.146284,1.22856,.8842998,.8481019
200819,3,2012,8009,.8190839,.7648261,1.146284,1.22856,.8842998,.8481019
200820,1,2008,20,2.479575,2.408264,2.641213,2.649361,2.524979,2.467961
200820,2,2010,8015,2.479575,2.408264,2.641213,2.649361,2.524979,2.467961
200820,3,2012,8010,2.479575,2.408264,2.641213,2.649361,2.524979,2.467961
200822,1,2008,22,1.498281,1.388538,1.636628,1.598664,1.535346,1.440016
200822,2,2010,8016,1.498281,1.388538,1.636628,1.598664,1.535346,1.440016
200822,3,2012,8011,1.498281,1.388538,1.636628,1.598664,1.535346,1.440016
200823,1,2008,23,1.210773,1.19354,1.286769,1.294156,1.233588,1.221969
200823,2,2010,8017,1.210773,1.19354,1.286769,1.294156,1.233588,1.221969
200823,3,2012,8012,1.210773,1.19354,1.286769,1.294156,1.233588,1.221969
200827,1,2008,27,3.811615,3.56581,5.419339,5.736937,4.159927,3.978312
200827,2,2010,8019,3.811615,3.56581,5.419339,5.736937,4.159927,3.978312
200827,3,2012,8013,3.811615,3.56581,5.419339,5.736937,4.159927,3.978312
200828,1,2008,28,1.467803,1.393411,2.263621,2.074401,1.607628,1.518451
200828,2,2010,8020,1.467803,1.393411,2.263621,2.074401,1.607628,1.518451
200828,3,2012,8014,1.467803,1.393411,2.263621,2.074401,1.607628,1.518451
200829,1,2008,29,.86759,.8137031,.8836032,.9120077,.8749198,.8387792
200829,2,2010,8021,.86759,.8137031,.8836032,.9120077,.8749198,.8387792
200829,3,2012,8015,.86759,.8137031,.8836032,.9120077,.8749198,.8387792
200830,1,2008,30,.7047901,.6798846,.7937608,.8063549,.7297621,.7124336
200830,2,2010,8022,.7047901,.6798846,.7937608,.8063549,.7297621,.7124336
200830,3,2012,8016,.7047901,.6798846,.7937608,.8063549,.7297621,.7124336
200832,1,2008,32,4.737357,4.600094,5.596505,5.586675,4.948459,4.834431
200832,2,2010,8023,4.737357,4.600094,5.596505,5.586675,4.948459,4.834431
200832,3,2012,8017,4.737357,4.600094,5.596505,5.586675,4.948459,4.834431
200834,1,2008,34,.6634235,.6252897,.7703149,.7470189,.6920666,.6576791
200834,2,2010,8025,.6634235,.6252897,.7703149,.7470189,.6920666,.6576791
200834,3,2012,8018,.6634235,.6252897,.7703149,.7470189,.6920666,.6576791
200835,1,2008,35,.7529335,.7222763,.6999416,.6922169,.7411234,.7168196
200835,2,2010,8026,.7529335,.7222763,.6999416,.6922169,.7411234,.7168196
200835,3,2012,8019,.7529335,.7222763,.6999416,.6922169,.7411234,.7168196
200836,1,2008,36,.6523349,.6375937,.6727849,.681712,.6601962,.6512066
200836,2,2010,8027,.6523349,.6375937,.6727849,.681712,.6601962,.6512066
200836,3,2012,8020,.6523349,.6375937,.6727849,.681712,.6601962,.6512066
200837,1,2008,37,5.877697,5.485408,6.371491,5.86597,6.009501,5.592907
200837,2,2010,8028,5.877697,5.485408,6.371491,5.86597,6.009501,5.592907
200837,3,2012,8021,5.877697,5.485408,6.371491,5.86597,6.009501,5.592907
200840,1,2008,40,1.189857,1.153623,1.398962,1.359576,1.241566,1.204555
200840,2,2010,8031,1.189857,1.153623,1.398962,1.359576,1.241566,1.204555
200840,3,2012,8022,1.189857,1.153623,1.398962,1.359576,1.241566,1.204555
200841,1,2008,41,1.278283,1.20437,1.654129,1.510865,1.364115,1.276936
200841,2,2010,8032,1.278283,1.20437,1.654129,1.510865,1.364115,1.276936
200841,3,2012,8023,1.278283,1.20437,1.654129,1.510865,1.364115,1.276936
200842,1,2008,42,2.647567,2.618275,2.981248,2.906811,2.74443,2.706248
200842,2,2010,8033,2.647567,2.618275,2.981248,2.906811,2.74443,2.706248
200842,3,2012,8024,2.647567,2.618275,2.981248,2.906811,2.74443,2.706248
200843,1,2008,43,1.414074,1.349394,2.057024,2.036525,1.546088,1.486082
200843,2,2010,8034,1.414074,1.349394,2.057024,2.036525,1.546088,1.486082
200843,3,2012,8025,1.414074,1.349394,2.057024,2.036525,1.546088,1.486082
200844,1,2008,44,1.212795,1.225579,1.509199,1.530841,1.288329,1.304008
200844,2,2010,8035,1.212795,1.225579,1.509199,1.530841,1.288329,1.304008
200844,3,2012,8026,1.212795,1.225579,1.509199,1.530841,1.288329,1.304008
200845,1,2008,45,.6007693,.5749258,.6155,.5925949,.6071492,.5819715
200845,2,2010,8036,.6007693,.5749258,.6155,.5925949,.6071492,.5819715
200845,3,2012,8027,.6007693,.5749258,.6155,.5925949,.6071492,.5819715
200846,1,2008,46,1.397027,1.301587,2.017036,1.814521,1.524726,1.41013
200846,2,2010,8037,1.397027,1.301587,2.017036,1.814521,1.524726,1.41013
200846,3,2012,8028,1.397027,1.301587,2.017036,1.814521,1.524726,1.41013
200848,1,2008,48,3.01781,3.095703,3.630359,3.851262,3.174362,3.278402
200848,2,2010,8038,3.01781,3.095703,3.630359,3.851262,3.174362,3.278402
200848,3,2012,8029,3.01781,3.095703,3.630359,3.851262,3.174362,3.278402
200849,1,2008,49,2.015192,1.962592,1.996165,1.939061,2.017949,1.963275
200849,2,2010,8039,2.015192,1.962592,1.996165,1.939061,2.017949,1.963275
200849,3,2012,8030,2.015192,1.962592,1.996165,1.939061,2.017949,1.963275
200852,1,2008,52,1.16228,1.169197,1.287364,1.272636,1.199637,1.200593
200852,2,2010,8040,1.16228,1.169197,1.287364,1.272636,1.199637,1.200593
200852,3,2012,8031,1.16228,1.169197,1.287364,1.272636,1.199637,1.200593
200854,1,2008,54,.6780874,.6370177,.7354251,.6708173,.6941832,.6470529
200854,2,2010,8041,.6780874,.6370177,.7354251,.6708173,.6941832,.6470529
200854,3,2012,8032,.6780874,.6370177,.7354251,.6708173,.6941832,.6470529
200855,1,2008,55,2.603609,2.630803,3.157465,3.076874,2.759417,2.763232
200855,2,2010,8042,2.603609,2.630803,3.157465,3.076874,2.759417,2.763232
200855,3,2012,8033,2.603609,2.630803,3.157465,3.076874,2.759417,2.763232
200856,1,2008,56,1.432113,1.344721,1.550939,1.458181,1.465155,1.376675
200856,2,2010,8043,1.432113,1.344721,1.550939,1.458181,1.465155,1.376675
200856,3,2012,8034,1.432113,1.344721,1.550939,1.458181,1.465155,1.376675
200857,1,2008,57,1.2966,1.214825,1.383379,1.289571,1.321276,1.236284
200857,2,2010,8044,1.2966,1.214825,1.383379,1.289571,1.321276,1.236284
200857,3,2012,8035,1.2966,1.214825,1.383379,1.289571,1.321276,1.236284
200858,1,2008,58,7.664979,7.104581,8.173919,7.441884,7.815212,7.21423
200858,2,2010,8045,7.664979,7.104581,8.173919,7.441884,7.815212,7.21423
200858,3,2012,8036,7.664979,7.104581,8.173919,7.441884,7.815212,7.21423
200859,1,2008,59,.5556599,.5227109,.5385051,.5036656,.5534488,.5196999
200859,2,2010,8046,.5556599,.5227109,.5385051,.5036656,.5534488,.5196999
200859,3,2012,8037,.5556599,.5227109,.5385051,.5036656,.5534488,.5196999
200860,1,2008,60,1.618362,1.50514,2.164782,2.104481,1.727631,1.620413
200860,2,2010,8047,1.618362,1.50514,2.164782,2.104481,1.727631,1.620413
200860,3,2012,8038,1.618362,1.50514,2.164782,2.104481,1.727631,1.620413
200861,1,2008,61,4.559076,4.342028,5.59318,5.473454,4.774491,4.57803
200861,2,2010,8048,4.559076,4.342028,5.59318,5.473454,4.774491,4.57803
200861,3,2012,8039,4.559076,4.342028,5.59318,5.473454,4.774491,4.57803
200863,1,2008,63,1.60239,1.446856,2.000257,1.799153,1.693717,1.528301
200863,2,2010,8049,1.60239,1.446856,2.000257,1.799153,1.693717,1.528301
200863,3,2012,8040,1.60239,1.446856,2.000257,1.799153,1.693717,1.528301
200865,1,2008,65,1.550378,1.54716,1.566307,1.569181,1.560666,1.558315
200865,2,2010,8051,1.550378,1.54716,1.566307,1.569181,1.560666,1.558315
200865,3,2012,8041,1.550378,1.54716,1.566307,1.569181,1.560666,1.558315
200866,1,2008,66,.667895,.63818,.7080143,.6449154,.6802945,.6421599
200866,2,2010,8052,.667895,.63818,.7080143,.6449154,.6802945,.6421599
200866,3,2012,8042,.667895,.63818,.7080143,.6449154,.6802945,.6421599
200868,1,2008,68,1.345122,1.273264,1.266615,1.234823,1.33011,1.26785
200868,2,2010,8054,1.345122,1.273264,1.266615,1.234823,1.33011,1.26785
200868,3,2012,8043,1.345122,1.273264,1.266615,1.234823,1.33011,1.26785
200869,1,2008,69,3.111589,3.077564,3.740227,3.844409,3.24676,3.234097
200869,2,2010,8055,3.111589,3.077564,3.740227,3.844409,3.24676,3.234097
200869,3,2012,8044,3.111589,3.077564,3.740227,3.844409,3.24676,3.234097
200872,1,2008,72,1.27779,1.208811,1.500506,1.386793,1.332034,1.251827
200872,2,2010,8056,1.27779,1.208811,1.500506,1.386793,1.332034,1.251827
200872,3,2012,8045,1.27779,1.208811,1.500506,1.386793,1.332034,1.251827
200874,1,2008,74,.640946,.5835264,.7716762,.6968135,.6726649,.6112303
200874,2,2010,8057,.640946,.5835264,.7716762,.6968135,.6726649,.6112303
200874,3,2012,8046,.640946,.5835264,.7716762,.6968135,.6726649,.6112303
200876,1,2008,76,1.12694,1.083653,1.248492,1.184856,1.163161,1.114813
200876,2,2010,8058,1.12694,1.083653,1.248492,1.184856,1.163161,1.114813
200876,3,2012,8047,1.12694,1.083653,1.248492,1.184856,1.163161,1.114813
200877,1,2008,77,.7299151,.6482585,.6833039,.5981252,.7197741,.6365381
200877,2,2010,8059,.7299151,.6482585,.6833039,.5981252,.7197741,.6365381
200877,3,2012,8048,.7299151,.6482585,.6833039,.5981252,.7197741,.6365381
200879,1,2008,79,.5508925,.539636,.5052944,.4933799,.5414594,.5297452
200879,2,2010,8061,.5508925,.539636,.5052944,.4933799,.5414594,.5297452
200879,3,2012,8049,.5508925,.539636,.5052944,.4933799,.5414594,.5297452
200883,1,2008,83,1.20893,1.137598,1.301979,1.213705,1.235448,1.159869
200883,2,2010,8062,1.20893,1.137598,1.301979,1.213705,1.235448,1.159869
200883,3,2012,8050,1.20893,1.137598,1.301979,1.213705,1.235448,1.159869
200887,1,2008,87,.6527894,.5907398,.7727164,.667987,.6835817,.6112752
200887,2,2010,8064,.6527894,.5907398,.7727164,.667987,.6835817,.6112752
200887,3,2012,8051,.6527894,.5907398,.7727164,.667987,.6835817,.6112752
200888,1,2008,88,1.260764,1.223986,1.317267,1.32664,1.282252,1.258467
200888,2,2010,8065,1.260764,1.223986,1.317267,1.32664,1.282252,1.258467
200888,3,2012,8052,1.260764,1.223986,1.317267,1.32664,1.282252,1.258467
200892,1,2008,92,1.091853,1.07075,1.122757,1.109443,1.103786,1.084506
200892,2,2010,8069,1.091853,1.07075,1.122757,1.109443,1.103786,1.084506
200892,3,2012,8053,1.091853,1.07075,1.122757,1.109443,1.103786,1.084506
200893,1,2008,93,1.680871,1.673523,1.791028,1.80576,1.716037,1.713632
200893,2,2010,8070,1.680871,1.673523,1.791028,1.80576,1.716037,1.713632
200893,3,2012,8054,1.680871,1.673523,1.791028,1.80576,1.716037,1.713632
200894,1,2008,94,1.109906,1.092613,1.140808,1.130684,1.121256,1.105232
200894,2,2010,8071,1.109906,1.092613,1.140808,1.130684,1.121256,1.105232
200894,3,2012,8055,1.109906,1.092613,1.140808,1.130684,1.121256,1.105232
200895,1,2008,95,1.474042,1.431261,1.792665,1.732685,1.549788,1.502123
200895,2,2010,8072,1.474042,1.431261,1.792665,1.732685,1.549788,1.502123
200895,3,2012,8056,1.474042,1.431261,1.792665,1.732685,1.549788,1.502123
200896,1,2008,96,.4973243,.4851351,.4802323,.4615015,.4949287,.4808837
200896,2,2010,8073,.4973243,.4851351,.4802323,.4615015,.4949287,.4808837
200896,3,2012,8057,.4973243,.4851351,.4802323,.4615015,.4949287,.4808837
200899,1,2008,99,2.66481,1.699771,2.77571,1.81882,2.701071,1.731175
200899,2,2010,8075,2.66481,1.699771,2.77571,1.81882,2.701071,1.731175
200899,3,2012,8058,2.66481,1.699771,2.77571,1.81882,2.701071,1.731175
201010,1,2010,10,5.689621,5.123214,5.487235,4.473828,5.660132,4.964506
201010,2,2012,10009,5.689621,5.123214,5.487235,4.473828,5.660132,4.964506
201010,3,2014,10007,5.689621,5.123214,5.487235,4.473828,5.660132,4.964506
201011,1,2010,11,3.223393,3.103334,2.939319,2.817709,3.154763,3.030864
201011,2,2012,10010,3.223393,3.103334,2.939319,2.817709,3.154763,3.030864
201011,3,2014,10008,3.223393,3.103334,2.939319,2.817709,3.154763,3.030864
201012,1,2010,12,3.557371,3.285184,3.450436,3.146334,3.540053,3.255729
201012,2,2012,10011,3.557371,3.285184,3.450436,3.146334,3.540053,3.255729
201012,3,2014,10009,3.557371,3.285184,3.450436,3.146334,3.540053,3.255729
201013,1,2010,13,1.299842,1.227445,1.13403,1.060676,1.258069,1.184757
201013,2,2012,10012,1.299842,1.227445,1.13403,1.060676,1.258069,1.184757
201013,3,2014,10010,1.299842,1.227445,1.13403,1.060676,1.258069,1.184757
201016,1,2010,16,1.848617,1.701102,1.962742,1.754144,1.889439,1.72266
201016,2,2012,10013,1.848617,1.701102,1.962742,1.754144,1.889439,1.72266
201016,3,2014,10011,1.848617,1.701102,1.962742,1.754144,1.889439,1.72266
201017,1,2010,17,.9661919,.7782326,1.006432,.893803,.9804267,.8092483
201017,2,2012,10014,.9661919,.7782326,1.006432,.893803,.9804267,.8092483
201017,3,2014,10012,.9661919,.7782326,1.006432,.893803,.9804267,.8092483
201019,1,2010,19,1.453395,1.3908,1.466805,1.323707,1.462807,1.376366
201019,2,2012,10016,1.453395,1.3908,1.466805,1.323707,1.462807,1.376366
201019,3,2014,10013,1.453395,1.3908,1.466805,1.323707,1.462807,1.376366
201020,1,2010,20,.6749786,.6367691,.5793142,.54764,.6491863,.6118502
201020,2,2012,10017,.6749786,.6367691,.5793142,.54764,.6491863,.6118502
201020,3,2014,10014,.6749786,.6367691,.5793142,.54764,.6491863,.6118502
201022,1,2010,22,3.47071,3.408476,3.089816,3.073133,3.379704,3.328982
201022,2,2012,10018,3.47071,3.408476,3.089816,3.073133,3.379704,3.328982
201022,3,2014,10015,3.47071,3.408476,3.089816,3.073133,3.379704,3.328982
201024,1,2010,24,.6910772,.6516812,.6318442,.5905474,.6763517,.6356708
201024,2,2012,10020,.6910772,.6516812,.6318442,.5905474,.6763517,.6356708
201024,3,2014,10016,.6910772,.6516812,.6318442,.5905474,.6763517,.6356708
201026,1,2010,26,1.463821,1.385284,1.351762,1.232718,1.436123,1.344177
201026,2,2012,10021,1.463821,1.385284,1.351762,1.232718,1.436123,1.344177
201026,3,2014,10017,1.463821,1.385284,1.351762,1.232718,1.436123,1.344177
201027,1,2010,27,1.248667,1.199789,1.187992,1.191748,1.235586,1.201646
201027,2,2012,10022,1.248667,1.199789,1.187992,1.191748,1.235586,1.201646
201027,3,2014,10018,1.248667,1.199789,1.187992,1.191748,1.235586,1.201646
201030,1,2010,30,1.491159,1.492604,1.276646,1.344138,1.436625,1.457016
201030,2,2012,10023,1.491159,1.492604,1.276646,1.344138,1.436625,1.457016
201030,3,2014,10019,1.491159,1.492604,1.276646,1.344138,1.436625,1.457016
201032,1,2010,32,1.486629,1.421183,1.475423,1.368279,1.489405,1.411328
201032,2,2012,10024,1.486629,1.421183,1.475423,1.368279,1.489405,1.411328
201032,3,2014,10020,1.486629,1.421183,1.475423,1.368279,1.489405,1.411328
201034,1,2010,34,1.467582,1.29967,1.412115,1.322499,1.458674,1.309815
201034,2,2012,10025,1.467582,1.29967,1.412115,1.322499,1.458674,1.309815
201034,3,2014,10021,1.467582,1.29967,1.412115,1.322499,1.458674,1.309815
201035,1,2010,35,.8187079,.7422264,.4732671,.4633818,.7010813,.6573739
201035,2,2012,10026,.8187079,.7422264,.4732671,.4633818,.7010813,.6573739
201035,3,2014,10022,.8187079,.7422264,.4732671,.4633818,.7010813,.6573739
201036,1,2010,36,1.191546,1.174331,1.066064,1.06394,1.162072,1.148407
201036,2,2012,10027,1.191546,1.174331,1.066064,1.06394,1.162072,1.148407
201036,3,2014,10023,1.191546,1.174331,1.066064,1.06394,1.162072,1.148407
201037,1,2010,37,.9358602,.7105324,.8567939,.7172765,.9181448,.7146752
201037,2,2012,10028,.9358602,.7105324,.8567939,.7172765,.9181448,.7146752
201037,3,2014,10024,.9358602,.7105324,.8567939,.7172765,.9181448,.7146752
201038,1,2010,38,2.01683,1.861331,1.282395,1.20024,1.766539,1.653089
201038,2,2012,10029,2.01683,1.861331,1.282395,1.20024,1.766539,1.653089
201038,3,2014,10025,2.01683,1.861331,1.282395,1.20024,1.766539,1.653089
201039,1,2010,39,.9280847,.7002538,.7163257,.5979812,.8678538,.6729065
201039,2,2012,10030,.9280847,.7002538,.7163257,.5979812,.8678538,.6729065
201039,3,2014,10026,.9280847,.7002538,.7163257,.5979812,.8678538,.6729065
201040,1,2010,40,1.163557,1.099701,1.102541,1.049116,1.150771,1.089074
201040,2,2012,10031,1.163557,1.099701,1.102541,1.049116,1.150771,1.089074
201040,3,2014,10027,1.163557,1.099701,1.102541,1.049116,1.150771,1.089074
201041,1,2010,41,1.320418,1.247889,1.090911,1.031557,1.284861,1.210876
201041,2,2012,10032,1.320418,1.247889,1.090911,1.031557,1.284861,1.210876
201041,3,2014,10028,1.320418,1.247889,1.090911,1.031557,1.284861,1.210876
201042,1,2010,42,2.506844,2.331213,2.319664,2.188979,2.459707,2.296631
201042,2,2012,10033,2.506844,2.331213,2.319664,2.188979,2.459707,2.296631
201042,3,2014,10029,2.506844,2.331213,2.319664,2.188979,2.459707,2.296631
